EMG1,EMG2,class,user
0.0003098072,0.000192796,0,1
0.0003472443,0.000113384,0,1
0.0003940812,4.175109e-05,0,1
0.0004555039,7.069105e-06,0,1
0.0005289196,2.035846e-05,0,1
0.0006146522,6.946425e-05,0,1
0.0007060571,0.0001263492,0,1
0.0007890346,0.0001671896,0,1
0.0008481885,0.0001809652,0,1
0.0008729845,0.0001709172,0,1
0.0008606675,0.0001503349,0,1
0.0008193408,0.0001297526,0,1
0.0007637524,0.0001094944,0,1
0.0007033019,8.323981e-05,0,1
0.0006391241,4.02925e-05,0,1
0.000562305,-2.46957e-05,0,1
0.0004709002,-0.0001021629,0,1
0.0003649094,-0.0001765509,0,1
0.0002441707,-0.0002298704,0,1
0.000113384,-0.0002548284,0,1
-2.453363e-05,-0.0002517492,0,1
-0.0001658546,-0.0002241981,0,1
-0.0003037722,-0.0001810887,0,1
-0.0004233763,-0.0001404103,0,1
-0.0005107295,-0.0001267968,0,1
-0.0005582146,-0.0001488377,0,1
-0.0005703696,-0.0001940539,0,1
-0.0005601594,-0.0002421874,0,1
-0.0005411978,-0.000276221,0,1
-0.000514457,-0.0002930758,0,1
-0.0004713477,-0.000303448,0,1
-0.0004091146,-0.0003235441,0,1
-0.0003371576,-0.0003596847,0,1
-0.000271197,-0.0004070078,0,1
-0.000221605,-0.0004535205,0,1
-0.0001880575,-0.0004857715,0,1
-0.0001660166,-0.0004985746,0,1
-0.0001464067,-0.0004946851,0,1
-0.0001217728,-0.0004831784,0,1
-8.368748e-05,-0.00047702,0,1
-3.279896e-05,-0.0004830164,0,1
2.359977e-05,-0.0004972781,0,1
7.238143e-05,-0.0005105674,0,1
9.831188e-05,-0.0005138087,0,1
9.053275e-05,-0.0005074882,0,1
5.455425e-05,-0.0004907955,0,1
6.258778e-06,-0.0004590307,0,1
-4.592625e-05,-0.0004063595,0,1
-0.0001034594,-0.0003275957,0,1
-0.000171851,-0.0002269532,0,1
-0.000251101,-0.0001096179,0,1
-0.0003309991,1.419998e-05,0,1
-0.000402794,0.0001300767,0,1
-0.0004595169,0.000222616,0,1
-0.0005003574,0.0002880904,0,1
-0.0005227224,0.0003315239,0,1
-0.0005238568,0.0003598854,0,1
-0.0004995471,0.0003770643,0,1
-0.0004425001,0.0003914881,0,1
-0.0003527159,0.0004136911,0,1
-0.0002365151,0.0004477248,0,1
-0.0001091317,0.000478031,0,1
8.365628e-06,0.0004840274,0,1
0.0001033359,0.0004585832,0,1
0.0001660552,0.0004051016,0,1
0.0001889064,0.0003357376,0,1
0.0001658931,0.0002618358,0,1
0.0001023635,0.0001934442,0,1
1.938607e-05,0.0001323456,0,1
-5.953974e-05,7.562274e-05,0,1
-0.0001206384,1.695509e-05,0,1
-0.0001585616,-4.317115e-05,0,1
-0.0001746061,-9.681477e-05,0,1
-0.0001699062,-0.0001313347,0,1
-0.0001455964,-0.0001423551,0,1
-0.0001078352,-0.0001332795,0,1
-6.764301e-05,-0.000112211,0,1
-3.150244e-05,-8.773911e-05,0,1
8.041497e-06,-6.472583e-05,0,1
5.925414e-05,-4.187462e-05,0,1
0.0001197045,-1.464765e-05,0,1
0.0001748067,1.954813e-05,0,1
0.0002112714,6.379197e-05,0,1
0.0002235884,0.0001180839,0,1
0.0002169437,0.0001782101,0,1
0.0002018716,0.0002372019,0,1
0.0001893926,0.0002882525,0,1
0.000180479,0.0003307136,0,1
0.0001723757,0.0003653956,0,1
0.0001645966,0.0003867882,0,1
0.0001645966,0.0003892192,0,1
0.0001812893,0.0003618301,0,1
0.0002164575,0.000299597,0,1
0.0002631324,0.0002188885,0,1
0.0003271482,0.000148228,0,1
0.0004188772,0.0001146805,0,1
0.0005266506,0.000130887,0,1
0.0006211348,0.0001850168,0,1
0.0006835299,0.0002509774,0,1
0.0007042743,0.0003007315,0,1
0.0006820714,0.0003196932,0,1
0.0006253485,0.0003052694,0,1
0.0005631154,0.0002652392,0,1
0.0005289196,0.0002133783,0,1
0.0005315126,0.0001550348,0,1
0.0005480433,9.150514e-05,0,1
0.0005483674,2.716521e-05,0,1
0.0005200059,-3.798505e-05,0,1
0.0004674968,-0.0001058904,0,1
0.0004018603,-0.0001778474,0,1
0.0003337929,-0.0002507768,0,1
0.0002773941,-0.000313334,0,1
0.000239957,-0.0003569296,0,1
0.0002182402,-0.0003831841,0,1
0.0001958752,-0.0003961493,0,1
0.0001561692,-0.0003950149,0,1
8.680524e-05,-0.000372974,0,1
-7.678839e-06,-0.0003253268,0,1
-0.0001076731,-0.0002627696,0,1
-0.000194216,-0.0001935677,0,1
-0.0002572594,-0.000112373,0,1
-0.0002916173,-1.043395e-05,0,1
-0.0003016653,0.0001164632,0,1
-0.00030831,0.0002626462,0,1
-0.0003316474,0.0004169324,0,1
-0.0003841565,0.0005504743,0,1
-0.0004624341,0.0006334517,0,1
-0.0005509217,0.0006504686,0,1
-0.0006308199,0.0006151384,0,1
-0.0006915944,0.0005611706,0,1
-0.0007296797,0.0005157923,0,1
-0.0007368106,0.0004775448,0,1
-0.0006966184,0.0004289252,0,1
-0.0006155858,0.0003543751,0,1
-0.0005369841,0.0002527602,0,1
-0.0005248293,0.0001380179,0,1
-0.0006287131,2.878586e-05,0,1
-0.0008434496,-5.905355e-05,0,1
-0.001108588,-0.0001217728,0,1
-0.00134569,-0.0001634236,0,1
-0.001496087,-0.0001904885,0,1
-0.001549244,-0.0002042641,0,1
-0.001528824,-0.0002130156,0,1
-0.001463998,-0.0002222533,0,1
-0.001370324,-0.0002352185,0,1
-0.001251206,-0.000253694,0,1
-0.001108426,-0.0002773555,0,1
-0.0009445783,-0.0003015032,0,1
-0.0007641996,-0.0003246786,0,1
-0.000573935,-0.0003527159,0,1
-0.0003888564,-0.0003909633,0,1
-0.0002370013,-0.0004410415,0,1
-0.0001438137,-0.0004943609,0,1
-0.0001141558,-0.0005369841,0,1
-0.0001259865,-0.000556756,0,1
-0.0001467309,-0.000554001,0,1
-0.0001514308,-0.0005395772,0,1
-0.000127283,-0.0005394151,0,1
-6.893953e-05,-0.0005698834,0,1
3.154097e-05,-0.0006197995,0,1
0.0001765894,-0.0006596675,0,1
0.0003653956,-0.0006659881,0,1
0.0005856425,-0.0006389232,0,1
0.0008243649,-0.0005904656,0,1
0.00107346,-0.0005311498,0,1
0.00132531,-0.0004651892,0,1
0.001561439,-0.0003942046,0,1
0.001758835,-0.0003203028,0,1
0.001889784,-0.0002397564,0,1
0.001939539,-0.0001467309,0,1
0.001912474,-3.992984e-05,0,1
0.001823013,7.157111e-05,0,1
0.001693037,0.0001733481,0,1
0.001546529,0.0002615117,0,1
0.001408935,0.0003435168,0,1
0.001297272,0.0004297355,0,1
0.001215105,0.0005253541,0,1
0.001141689,0.0006174073,0,1
0.001041371,0.0006806127,0,1
0.0008780085,0.000685961,0,1
0.0006507927,0.0006234037,0,1
0.0003931088,0.0005107683,0,1
0.0001488763,0.000383709,0,1
-4.80331e-05,0.0002773941,0,1
