EMG1,EMG2,class,user
7.027458e-05,-7.931171e-05,1,1
-7.23429e-05,-0.0001433275,1,1
-0.0002128535,-0.0002002124,1,1
-0.0003309991,-0.0002368392,1,1
-0.0004123559,-0.0002481838,1,1
-0.0004515757,-0.0002324634,1,1
-0.0004595169,-0.0001929195,1,1
-0.0004629203,-0.0001404103,1,1
-0.0004891749,-8.611845e-05,1,1
-0.0005489769,-3.441962e-05,1,1
-0.0006303337,1.808955e-05,1,1
-0.0007074767,8.712937e-05,1,1
-0.0007538275,0.0001796687,1,1
-0.0007523688,0.000282256,1,1
-0.0007035872,0.0003671783,1,1
-0.0006259579,0.0004167703,1,1
-0.0005446012,0.000425846,1,1
-0.0004856094,0.0003966742,1,1
-0.0004656754,0.0003350894,1,1
-0.000487068,0.0002527602,1,1
-0.0005382806,0.000165569,1,1
-0.0006006758,8.810177e-05,1,1
-0.0006573986,3.332369e-05,1,1
-0.0006953219,4.80019e-06,1,1
-0.0007095836,-4.761664e-06,1,1
-0.0007040734,-6.220252e-06,1,1
-0.0006826808,-1.027188e-05,1,1
-0.0006426507,-2.437157e-05,1,1
-0.0005820383,-4.884343e-05,1,1
-0.0005003574,-7.623246e-05,1,1
-0.0004010113,-9.503204e-05,1,1
-0.0002882139,-0.0001034594,1,1
-0.0001677994,-0.0001042698,1,1
-4.706071e-05,-0.000104756,1,1
6.978839e-05,-0.0001115627,1,1
0.0001744826,-0.0001292278,1,1
0.0002691288,-0.0001559686,1,1
0.0003495132,-0.0001869231,1,1
0.000410936,-0.0002177155,1,1
0.0004529109,-0.0002470493,1,1
0.0004841895,-0.0002752487,1,1
0.0005213025,-0.0002979378,1,1
0.0005731634,-0.0003092824,1,1
0.0006329655,-0.0003091203,1,1
0.0006866092,-0.0003039342,1,1
0.0007248566,-0.0003016653,1,1
0.0007460872,-0.0003060411,1,1
0.0007648868,-0.0003047445,1,1
0.0008052412,-0.0002818933,1,1
0.0008927565,-0.000226467,1,1
0.001038453,-0.0001457585,1,1
0.001223532,-6.035007e-05,1,1
0.001401156,1.12828e-05,1,1
0.001516547,6.492643e-05,1,1
0.001521409,0.0001013911,1,1
0.001388515,0.0001248906,1,1
0.001127752,0.0001380179,1,1
0.0007856312,0.0001415833,1,1
0.0004289252,0.0001362352,1,1
0.000125863,0.0001295905,1,1
-8.07703e-05,0.0001250527,1,1
-0.0001870851,0.0001188942,1,1
-0.0002290601,0.0001057669,1,1
-0.0002499665,8.405014e-05,1,1
-0.0002789762,6.78436e-05,1,1
-0.0003237062,7.870197e-05,1,1
-0.0003731361,0.0001248906,1,1
-0.0004107352,0.0001918236,1,1
-0.000422566,0.0002534084,1,1
-0.0003935563,0.0002819319,1,1
-0.0003185201,0.0002710735,1,1
-0.0002128535,0.0002339606,1,1
-0.0001117248,0.0001926339,1,1
-4.932962e-05,0.0001602208,1,1
-4.155049e-05,0.0001394765,1,1
-8.255302e-05,0.0001261871,1,1
-0.000151917,0.0001188942,1,1
-0.0002293842,0.0001148425,1,1
-0.0002953447,0.0001130598,1,1
-0.0003369955,0.0001124116,1,1
-0.0003515814,0.0001128978,1,1
-0.0003520676,0.0001188942,1,1
-0.0003551469,0.0001253768,1,1
-0.0003669776,0.0001326697,1,1
-0.000385291,0.0001415833,1,1
-0.0004070078,0.0001526038,1,1
-0.0004295348,0.0001603829,1,1
-0.0004525481,0.0001623277,1,1
-0.0004706994,0.0001582761,1,1
-0.0004737787,0.0001514693,1,1
-0.0004612996,0.0001412592,1,1
-0.0004442827,0.0001231079,1,1
-0.0004318037,9.604298e-05,1,1
-0.0004207833,6.687121e-05,1,1
-0.0004011734,4.02925e-05,1,1
-0.0003660052,1.501031e-05,1,1
-0.0003191683,-1.20546e-05,1,1
-0.0002724935,-4.138842e-05,1,1
-0.0002378116,-7.380149e-05,1,1
-0.0002156086,-0.0001070249,1,1
-0.000196647,-0.0001376552,1,1
-0.0001687718,-0.0001640719,1,1
-0.0001248521,-0.0001853024,1,1
-6.650855e-05,-0.0002018331,1,1
-2.492749e-06,-0.0002130156,1,1
5.61749e-05,-0.0002125294,1,1
0.0001013911,-0.000191785,1,1
0.0001316974,-0.0001478653,1,1
0.0001540623,-8.806324e-05,1,1
0.0001751309,-3.166451e-05,1,1
0.0001979821,1.720949e-06,1,1
0.0002180782,2.369211e-06,1,1
0.0002290986,-2.275091e-05,1,1
0.0002305572,-5.937768e-05,1,1
0.0002269918,-9.422172e-05,1,1
0.0002227781,-0.0001193418,1,1
0.0002125679,-0.0001302002,1,1
0.0001819376,-0.0001314967,1,1
0.0001266733,-0.0001292278,1,1
6.006447e-05,-0.0001292278,1,1
4.80019e-06,-0.0001314967,1,1
-2.226472e-05,-0.0001360346,1,1
-1.756482e-05,-0.0001394379,1,1
7.23117e-06,-0.0001378173,1,1
3.235129e-05,-0.0001314967,1,1
3.510641e-05,-0.0001243659,1,1
3.503668e-06,-0.0001173971,1,1
-5.257093e-05,-0.0001102662,1,1
-0.0001076731,-9.794922e-05,1,1
-0.0001379794,-7.817725e-05,1,1
-0.0001361966,-5.59743e-05,1,1
-0.0001041077,-3.68506e-05,1,1
-5.305713e-05,-1.99958e-05,1,1
2.623614e-07,-4.275467e-06,1,1
4.191315e-05,1.371378e-05,1,1
6.622294e-05,3.737532e-05,1,1
7.756752e-05,6.379197e-05,1,1
7.886404e-05,8.405014e-05,1,1
6.654708e-05,9.199134e-05,1,1
3.721326e-05,8.84259e-05,1,1
-6.058186e-06,7.853991e-05,1,1
-5.64605e-05,6.508849e-05,1,1
-0.0001107524,5.504044e-05,1,1
-0.0001673132,4.72613e-05,1,1
-0.0002217671,4.337174e-05,1,1
-0.000261149,4.369587e-05,1,1
-0.0002739521,4.790957e-05,1,1
-0.0002577456,5.61749e-05,1,1
-0.0002099363,6.849186e-05,1,1
-0.000122259,8.696731e-05,1,1
1.355172e-05,0.0001119254,1,1
0.0001923098,0.0001441764,1,1
0.0003910019,0.0001840444,1,1
0.0005786736,0.0002289366,1,1
0.0007259911,0.0002731804,1,1
0.0008178822,0.0003102934,1,1
0.000854509,0.0003347652,1,1
0.0008455954,0.0003394651,1,1
0.0008050791,0.0003287688,1,1
0.0007459252,0.0003089969,1,1
0.0006804507,0.0002874421,1,1
0.0006127074,0.0002723701,1,1
0.0005410745,0.0002684805,1,1
0.0004615004,0.0002718839,1,1
0.0003790091,0.0002751252,1,1
0.0003098072,0.0002681563,1,1
