EMG1,EMG2,class,user
-0.0002175534,0.0001971717,2,1
-0.000201671,0.0001874478,2,1
-0.0001822232,0.0001809652,2,1
-0.0001783336,0.0001817755,2,1
-0.0002021572,0.0001867996,2,1
-0.0002475355,0.0001906891,2,1
-0.000290969,0.0001923098,2,1
-0.0003096065,0.0001940925,2,1
-0.0002990722,0.0001949028,2,1
-0.0002720074,0.000192796,2,1
-0.0002494803,0.00018291,2,1
-0.0002428356,0.000162976,2,1
-0.0002532078,0.0001351007,2,1
-0.0002741142,0.0001004187,2,1
-0.0003023136,5.61749e-05,2,1
-0.000335537,-3.858999e-07,2,1
-0.0003668155,-6.504996e-05,2,1
-0.0003917736,-0.0001318209,2,1
-0.0004005251,-0.0001906506,2,1
-0.0003831841,-0.000233922,2,1
-0.0003334301,-0.0002548284,2,1
-0.0002523975,-0.0002509389,2,1
-0.0001430034,-0.0002271153,2,1
-9.137427e-06,-0.0002005366,2,1
0.0001470936,-0.0001838438,2,1
0.0003188828,-0.0001794681,2,1
0.0004950479,-0.0001797922,2,1
0.0006574374,-0.0001752544,2,1
0.000784983,-0.000159372,2,1
0.000864395,-0.0001340898,2,1
0.0009018321,-0.0001058904,2,1
0.0009177146,-7.914964e-05,2,1
0.0009331108,-5.921561e-05,2,1
0.0009545035,-4.608832e-05,2,1
0.0009661721,-4.171256e-05,2,1
0.0009481829,-4.252288e-05,2,1
0.0008919462,-4.268495e-05,2,1
0.0008002172,-3.928157e-05,2,1
0.0006870955,-3.393342e-05,2,1
0.000577053,-3.020592e-05,2,1
0.0004961824,-3.117831e-05,2,1
0.0004512903,-3.749886e-05,2,1
0.0004227667,-5.013995e-05,2,1
0.0003845193,-6.683268e-05,2,1
0.0003218,-8.417367e-05,2,1
0.000237526,-9.827335e-05,2,1
0.0001440143,-0.0001057284,2,1
5.325772e-05,-0.000102325,2,1
-2.534396e-05,-8.660465e-05,2,1
-9.081835e-05,-6.002594e-05,2,1
-0.0001549962,-2.615429e-05,2,1
-0.0002276015,5.610517e-06,2,1
-0.0003068514,2.910999e-05,2,1
-0.0003831841,4.223728e-05,2,1
-0.0004496309,4.758544e-05,2,1
-0.0005005194,4.871989e-05,2,1
-0.0005314739,4.807163e-05,2,1
-0.0005405495,4.320967e-05,2,1
-0.0005347152,3.348575e-05,2,1
-0.0005176983,1.825161e-05,2,1
-0.0004964678,-1.196227e-06,2,1
-0.0004669719,-2.323711e-05,2,1
-0.0004138145,-4.203669e-05,2,1
-0.0003204649,-5.662256e-05,2,1
-0.0001922712,-6.602235e-05,2,1
-5.613637e-05,-6.942573e-05,2,1
5.228533e-05,-6.602235e-05,2,1
0.0001033359,-5.613637e-05,2,1
8.664318e-05,-3.895745e-05,2,1
1.209313e-05,-1.383732e-05,2,1
-8.903562e-05,2.473423e-05,2,1
-0.0001856265,7.416415e-05,2,1
