EMG1,EMG2,class,user
4.564065e-05,-0.0002415391,3,1
2.100672e-05,-0.0002454286,3,1
3.494434e-05,-0.0002353806,3,1
9.134307e-05,-0.0002180396,3,1
0.0001692965,-0.0002053985,3,1
0.0002376881,-0.0002021572,3,1
0.0002769079,-0.0002047502,3,1
0.0002889007,-0.0002096122,3,1
0.0002843629,-0.0002147983,3,1
0.0002743149,-0.000221605,3,1
0.0002564877,-0.0002246843,3,1
0.000225047,-0.0002162569,3,1
0.0001880961,-0.0001981056,3,1
0.0001689724,-0.000176713,3,1
0.0001966855,-0.0001574272,3,1
0.0002795009,-0.0001449482,3,1
0.0003950536,-0.0001396,3,1
0.0004943996,-0.0001376552,3,1
0.0005337815,-0.0001365208,3,1
0.0005025029,-0.0001353863,3,1
0.0004235771,-0.0001387897,3,1
0.0003320101,-0.0001517549,3,1
0.0002493568,-0.0001789819,3,1
0.0001856651,-0.0002156086,3,1
0.000143204,-0.0002532078,3,1
0.0001177597,-0.0002802727,3,1
0.0001056048,-0.0002878898,3,1
0.0001002567,-0.0002789762,3,1
9.523264e-05,-0.0002614731,3,1
8.777764e-05,-0.0002426735,3,1
8.291568e-05,-0.000226467,3,1
9.004655e-05,-0.0002130156,3,1
0.0001072255,-0.0002029675,3,1
0.0001253768,-0.0001925954,3,1
0.0001373696,-0.0001775233,3,1
0.0001414213,-0.0001535376,3,1
0.0001360731,-0.0001170729,3,1
0.0001193804,-6.359137e-05,3,1
8.875003e-05,3.827799e-06,3,1
4.304761e-05,8.064677e-05,3,1
-1.010982e-05,0.0001623277,3,1
-6.245691e-05,0.0002440086,3,1
-0.0001055663,0.0003232586,3,1
-0.0001282554,0.0003968363,3,1
-0.0001267968,0.0004527488,3,1
-0.0001054042,0.0004759242,3,1
-7.736692e-05,0.0004593935,3,1
-6.132246e-05,0.0004096394,3,1
-7.088431e-05,0.0003376824,3,1
-0.0001045939,0.0002592428,3,1
-0.0001413827,0.0001880961,3,1
-0.0001661787,0.0001289422,3,1
-0.000176713,7.999851e-05,3,1
-0.0001797922,4.013043e-05,3,1
-0.0001799543,1.031041e-05,3,1
-0.0001773612,-1.092015e-05,3,1
-0.00016942,-2.145439e-05,3,1
-0.0001502963,-2.291298e-05,3,1
-0.0001211246,-2.129233e-05,3,1
-9.470791e-05,-2.664048e-05,3,1
-8.287715e-05,-4.349527e-05,3,1
-9.179074e-05,-7.120844e-05,3,1
-0.0001186936,-0.0001032974,3,1
-0.0001527273,-0.0001313347,3,1
-0.0001823853,-0.000149486,3,1
-0.0002037779,-0.00015451,3,1
-0.0002193361,-0.0001511067,3,1
-0.0002337599,-0.000144462,3,1
-0.0002442942,-0.0001430034,3,1
-0.0002410529,-0.0001454344,3,1
-0.000211557,-0.0001418689,3,1
-0.0001517549,-0.0001279313,3,1
-7.526008e-05,-0.0001060525,3,1
-6.058186e-06,-8.514606e-05,3,1
3.769945e-05,-6.845333e-05,3,1
4.839576e-05,-6.002594e-05,3,1
3.235129e-05,-5.889148e-05,3,1
5.448452e-06,-6.278104e-05,3,1
-1.724069e-05,-6.731888e-05,3,1
-2.826114e-05,-6.893953e-05,3,1
-3.020592e-05,-6.310517e-05,3,1
-2.988179e-05,-4.949169e-05,3,1
-3.68506e-05,-3.26369e-05,3,1
-4.932962e-05,-1.724069e-05,3,1
-6.213279e-05,-5.89612e-06,3,1
-6.974985e-05,2.693341e-06,3,1
-6.81292e-05,1.112074e-05,3,1
-5.22468e-05,2.003433e-05,3,1
-1.886135e-05,2.829966e-05,3,1
2.457216e-05,3.526847e-05,3,1
6.46023e-05,4.385793e-05,3,1
