EMG1,EMG2,class,user
0.0005039615,-0.0004019837,4,1
0.000393595,-0.0002616352,4,1
0.0002242366,-0.0001310105,4,1
3.218923e-05,-2.323711e-05,4,1
-0.0001366828,5.406805e-05,4,1
-0.0002549905,0.0001013911,4,1
-0.0003190063,0.0001245665,4,1
-0.0003371576,0.0001323456,4,1
-0.0003186821,0.000135749,4,1
-0.0002673075,0.0001436902,4,1
-0.0001908126,0.0001621656,4,1
-0.0001075111,0.0001961994,4,1
-3.814712e-05,0.0002393087,4,1
5.610517e-06,0.0002824181,4,1
2.505836e-05,0.0003164518,4,1
2.748934e-05,0.0003386548,4,1
1.54965e-05,0.0003563199,4,1
-1.059602e-05,0.0003675024,4,1
-4.495386e-05,0.0003508097,4,1
-7.785312e-05,0.0002812837,4,1
-9.746302e-05,0.0001589243,4,1
-9.778715e-05,3.341602e-06,4,1
-8.433573e-05,-0.0001496481,4,1
-6.586029e-05,-0.0002549905,4,1
-5.305713e-05,-0.0002771934,4,1
-5.402952e-05,-0.0002096122,4,1
-6.602235e-05,-8.07703e-05,4,1
-7.769106e-05,5.455425e-05,4,1
-8.125649e-05,0.000128294,4,1
-7.704279e-05,0.0001051186,4,1
-7.55842e-05,-3.14101e-06,4,1
-8.044617e-05,-0.0001421931,4,1
-9.324933e-05,-0.0002553146,4,1
-0.0001083214,-0.0003087962,4,1
-0.0001173971,-0.0003015032,4,1
-0.0001182074,-0.0002527216,4,1
-0.000119666,-0.0001801163,4,1
-0.0001336036,-9.000802e-05,4,1
-0.0001686097,1.808955e-05,4,1
-0.0002191741,0.0001453108,4,1
-0.0002768693,0.0002900352,4,1
-0.0003373197,0.0004470765,4,1
-0.0003938804,0.0006063868,4,1
-0.0004363416,0.0007548388,4,1
-0.0004583824,0.0008752534,4,1
-0.0004627582,0.0009603378,4,1
-0.0004614617,0.001014143,4,1
-0.0004741028,0.001050284,4,1
-0.0005157535,0.001083346,4,1
-0.0005843072,0.001119324,4,1
-0.0006572366,0.001138124,4,1
-0.0006941874,0.001098418,4,1
-0.0006572366,0.0009736272,4,1
-0.0005259637,0.0007741245,4,1
-0.0003112272,0.000542371,4,1
-5.208474e-05,0.000324393,4,1
0.0001876099,0.0001414213,4,1
0.0003504856,-1.886135e-05,4,1
0.0004203358,-0.0001705545,4,1
0.0004264942,-0.000310903,4,1
0.0004250357,-0.0004233763,4,1
0.0004543695,-0.0004886886,4,1
0.0005156302,-0.0005006815,4,1
0.0005777013,-0.0004692408,4,1
0.0006099523,-0.0004141386,4,1
0.0006029835,-0.0003632501,4,1
0.000572029,-0.0003360231,4,1
0.0005334574,-0.000338292,4,1
0.0004892136,-0.0003561192,4,1
0.0004307079,-0.0003697327,4,1
0.0003443271,-0.0003663294,4,1
0.0002245608,-0.0003444506,4,1
9.21534e-05,-0.0003162512,4,1
-6.382317e-06,-0.0002969654,4,1
-2.809907e-05,-0.0002948586,4,1
2.943412e-05,-0.0003062031,4,1
0.000121001,-0.0003170615,4,1
0.0001897167,-0.00030831,4,1
0.0001950649,-0.0002695764,4,1
0.0001269974,-0.0001995642,4,1
1.322759e-05,-0.0001107524,4,1
-9.519411e-05,-2.258885e-05,4,1
-0.0001459206,4.175109e-05,4,1
-0.0001177212,6.557468e-05,4,1
-1.643037e-05,4.288554e-05,4,1
0.0001354248,-1.383732e-05,4,1
0.0003127243,-8.547019e-05,4,1
0.0004901859,-0.0001512687,4,1
0.0006423654,-0.0001977815,4,1
0.0007451148,-0.0002212809,4,1
0.0007872519,-0.0002258187,4,1
0.0007763935,-0.0002272773,4,1
0.000718374,-0.0002384598,4,1
0.0005986077,-0.0002627696,4,1
0.0003940812,-0.0002937241,4,1
0.0001013911,-0.0003228959,4,1
-0.0002504527,-0.0003433161,4,1
-0.0006069963,-0.0003470436,4,1
-0.0009053585,-0.0003250027,4,1
-0.001096109,-0.0002739521,4,1
-0.00115656,-0.0002011848,4,1
-0.001099675,-0.0001245279,4,1
-0.0009551126,-6.456377e-05,4,1
-0.0007450759,-3.231277e-05,4,1
-0.0004901472,-2.129233e-05,4,1
-0.000213988,-1.902341e-05,4,1
5.455425e-05,-1.448558e-05,4,1
0.0002843629,-8.002969e-06,4,1
0.0004568005,-8.813297e-06,4,1
0.0005775391,-2.485776e-05,4,1
0.0006702406,-5.532604e-05,4,1
0.000748032,-9.2439e-05,4,1
0.0008057273,-0.0001233935,4,1
0.0008277682,-0.0001336036,4,1
0.0008016757,-0.000117235,4,1
0.0007261531,-7.671866e-05,4,1
0.0006128695,-2.599222e-05,4,1
0.0004871067,2.214118e-05,4,1
0.0003722023,5.94162e-05,4,1
0.000282256,8.307774e-05,4,1
0.0002213195,9.733949e-05,4,1
0.0001835583,0.0001047945,4,1
0.0001584381,0.0001075496,4,1
0.000135749,0.0001015532,4,1
0.0001090082,8.810177e-05,4,1
7.708133e-05,7.351589e-05,4,1
3.769945e-05,6.476436e-05,4,1
-1.25408e-05,6.298164e-05,4,1
-7.18567e-05,6.573675e-05,4,1
-0.0001394379,6.881599e-05,4,1
-0.0002183637,7.108491e-05,4,1
-0.0003079858,7.416415e-05,4,1
-0.000405063,7.57848e-05,4,1
-0.0004941989,7.157111e-05,4,1
-0.0005595111,6.103686e-05,4,1
-0.0005920863,4.920609e-05,4,1
-0.0005917621,3.867184e-05,4,1
-0.0005650214,3.478228e-05,4,1
-0.0005272602,3.656499e-05,4,1
-0.0004943609,4.402e-05,4,1
-0.0004760476,5.423012e-05,4,1
-0.0004706994,6.330578e-05,4,1
-0.0004689167,6.622294e-05,4,1
-0.0004570859,6.168512e-05,4,1
-0.000427428,4.985435e-05,4,1
-0.0003836704,3.640293e-05,4,1
-0.0003361852,2.424803e-05,4,1
-0.0003021515,1.695509e-05,4,1
-0.0002951827,1.841368e-05,4,1
-0.0003128478,2.635488e-05,4,1
-0.0003447747,3.948217e-05,4,1
-0.0003673017,5.893001e-05,4,1
-0.0003643846,8.42122e-05,4,1
-0.0003403989,0.0001122495,4,1
-0.0003121996,0.0001360731,4,1
-0.0002989102,0.0001475797,4,1
-0.0003063652,0.000145797,4,1
-0.0003348887,0.0001402868,4,1
-0.0003781601,0.0001419075,4,1
-0.0004178661,0.0001579519,4,1
-0.0004345588,0.0001908512,4,1
-0.0004190006,0.000235095,4,1
-0.0003737844,0.0002854973,4,1
-0.0002972895,0.000334117,4,1
-0.0001830335,0.0003699334,4,1
-2.955766e-05,0.0003814401,4,1
0.0001534141,0.0003666921,4,1
0.0003529166,0.0003384927,4,1
0.0005576051,0.0003133726,4,1
0.0007541905,0.0002983005,4,1
0.0009183628,0.0002913317,4,1
0.001021112,0.0002903593,4,1
0.001039102,0.000292142,4,1
0.0009723307,0.0002911697,4,1
0.0008467299,0.0002785285,4,1
0.0007110811,0.0002535705,4,1
0.0006084936,0.0002222919,4,1
0.0005517708,0.0001971717,4,1
0.0005307022,0.0001824238,4,1
0.0005169268,0.0001733481,4,1
0.0004744656,0.0001644345,4,1
0.0003918123,0.0001540623,4,1
0.0002850112,0.0001422316,4,1
0.0001782101,0.0001320215,4,1
7.983644e-05,0.0001253768,4,1
-1.497178e-05,0.0001260251,4,1
-0.00010978,0.0001351007,4,1
-0.000201509,0.000153252,4,1
-0.0002874036,0.0001626518,4,1
-0.0003536883,0.0001328318,4,1
-0.0003796187,3.899597e-05,4,1
-0.0003553089,-0.0001165867,4,1
-0.0002827037,-0.000303448,4,1
-0.0001752544,-0.0004763717,4,1
-5.030202e-05,-0.0005967862,4,1
7.918817e-05,-0.0006471885,4,1
0.0001984683,-0.0006330888,4,1
0.0002929524,-0.0005731247,4,1
0.0003550234,-0.0004888507,4,1
0.0003841952,-0.0004019837,4,1
0.0003895433,-0.000328244,4,1
0.0003790091,-0.0002744383,4,1
0.0003525924,-0.0002400805,4,1
0.0002965178,-0.0002177155,4,1
0.0001996027,-0.0001987538,4,1
6.298164e-05,-0.0001796301,4,1
-0.0001037836,-0.0001590478,4,1
-0.0002896725,-0.0001360346,4,1
-0.0004753993,-0.0001114006,4,1
-0.0006295234,-8.676672e-05,4,1
-0.0007209282,-5.905355e-05,4,1
-0.0007481552,-2.242678e-05,4,1
-0.0007454,2.667901e-05,4,1
-0.0007565826,8.923623e-05,4,1
-0.0008045539,0.0001590864,4,1
-0.0008826694,0.0002256952,4,1
-0.0009585159,0.0002791768,4,1
-0.0009875257,0.0003175863,4,1
-0.0009402025,0.0003427064,4,1
-0.000817195,0.0003707437,4,1
-0.0006411921,0.0004166082,4,1
-0.000439907,0.0004739794,4,1
-0.0002337599,0.0005128751,4,1
-3.830919e-05,0.0005067165,4,1
0.0001367214,0.0004462662,4,1
0.0002807975,0.0003467581,4,1
0.0003798194,0.000239957,4,1
0.0004232529,0.0001564933,4,1
0.0004072085,0.0001158149,4,1
0.0003499994,0.0001203528,4,1
0.0002811216,0.0001571416,4,1
0.0002193747,0.0002008992,4,1
0.0001735102,0.0002265056,4,1
0.0001517934,0.0002209954,4,1
0.0001645966,0.0001874478,4,1
0.0002124059,0.0001385041,4,1
0.0002889007,8.405014e-05,4,1
0.0003794953,3.364782e-05,4,1
0.0004676588,-7.192643e-06,4,1
0.000530054,-3.63644e-05,4,1
0.0005491778,-6.326724e-05,4,1
0.0005248679,-0.0001068628,4,1
0.0004739794,-0.0001896782,4,1
0.0004219564,-0.0003131719,4,1
0.0003871123,-0.0004527101,4,1
0.0003781987,-0.0005771763,4,1
0.0003840331,-0.0006659881,4,1
0.0003828986,-0.0007134732,4,1
0.0003597233,-0.0007197938,4,1
0.0003117519,-0.0006896496,4,1
0.0002443328,-0.0006350336,4,1
0.0001660552,-0.0005653456,4,1
8.340187e-05,-0.0004888507,4,1
8.203562e-06,-0.000412518,4,1
-5.59743e-05,-0.0003462333,4,1
-0.0001130213,-0.0002987481,4,1
-0.0001809267,-0.000271035,4,1
-0.0002767073,-0.0002502906,4,1
-0.000392746,-0.000211557,4,1
-0.0004977643,-0.0001365208,4,1
-0.0005577285,-2.194059e-05,4,1
-0.0005648594,0.0001174356,4,1
-0.0005407116,0.0002595669,4,1
-0.0005199672,0.000383871,4,1
-0.0005165638,0.0004684692,4,1
-0.0005202913,0.0004909963,4,1
-0.0004980884,0.0004443214,4,1
-0.0004037664,0.0003545372,4,1
-0.000216581,0.0002662116,4,1
4.969229e-05,0.0002081922,4,1
0.0003569682,0.0001880961,4,1
0.0006553305,0.0001974959,4,1
0.0008969702,0.0002174299,4,1
0.00105547,0.0002363916,4,1
0.001139258,0.0002581083,4,1
0.001169726,0.00029198,4,1
0.001163082,0.0003258516,4,1
0.00112451,0.0003282826,4,1
0.001051743,0.0002762596,4,1
0.0009523966,0.0001731861,4,1
0.0008438127,4.82337e-05,4,1
0.0007370116,-6.132246e-05,4,1
0.0006256726,-0.0001319829,4,1
0.0005042856,-0.0001592099,4,1
0.0003817642,-0.0001498101,4,1
0.0002710735,-0.0001211246,4,1
0.0001819376,-9.065628e-05,4,1
0.0001221355,-8.060823e-05,4,1
9.020862e-05,-0.0001075111,4,1
7.011252e-05,-0.0001726613,4,1
3.948217e-05,-0.0002614731,4,1
-1.059602e-05,-0.0003497987,4,1
-8.109443e-05,-0.0004211074,4,1
-0.0001807646,-0.0004682684,4,1
-0.0003073376,-0.0004922541,4,1
-0.0004402311,-0.0004933886,4,1
-0.0005460597,-0.000467134,4,1
-0.0005899795,-0.0004091146,4,1
-0.0005507597,-0.0003154408,4,1
-0.000447362,-0.0001977815,4,1
-0.0003303509,-7.671866e-05,4,1
-0.0002506147,2.068259e-05,4,1
-0.0002418632,7.027458e-05,4,1
-0.0003334301,6.071273e-05,4,1
-0.0005285567,-5.734056e-06,4,1
-0.0007847819,-0.0001079973,4,1
-0.001031445,-0.000213988,4,1
-0.001204207,-0.0002927517,4,1
-0.001260282,-0.0003188442,4,1
-0.001188325,-0.0002857829,4,1
-0.001003894,-0.0002055606,4,1
-0.0007483172,-0.0001062146,4,1
-0.0004716718,-1.659243e-05,4,1
-0.000211557,4.402e-05,4,1
1.679302e-05,7.157111e-05,4,1
0.0002185644,7.335383e-05,4,1
0.0003979707,6.379197e-05,4,1
0.0005457744,5.56887e-05,4,1
0.0006451205,5.390598e-05,4,1
0.0006807749,5.730935e-05,4,1
0.0006504686,6.735741e-05,4,1
0.0005666808,8.46984e-05,4,1
0.0004568005,0.0001081979,4,1
0.0003542131,0.000133318,4,1
0.0002869559,0.0001589243,4,1
0.000264753,0.0001863134,4,1
0.0002798251,0.0002188885,4,1
0.0003237448,0.000254867,4,1
0.0003934329,0.0002848491,4,1
0.0004901859,0.0002989488,4,1
0.0006096281,0.0002911697,4,1
0.0007357151,0.000267346,4,1
0.0008386266,0.000239957,4,1
0.0008815739,0.0002216436,4,1
0.0008378163,0.0002216436,4,1
0.0006937401,0.0002365536,4,1
0.0004678209,0.0002569738,4,1
0.0002070577,0.0002736666,4,1
-4.155049e-05,0.0002854973,4,1
-0.0002485079,0.0002973281,4,1
-0.0003995528,0.0003111037,4,1
-0.0004916058,0.0003239069,4,1
-0.0005303394,0.0003313618,4,1
-0.0005298533,0.0003320101,4,1
-0.0005071641,0.0003273102,4,1
-0.000484637,0.0003180725,4,1
-0.0004938748,0.0003026763,4,1
-0.0005604835,0.0002812837,4,1
-0.0006868945,0.0002560015,4,1
-0.0008429634,0.0002287745,4,1
-0.0009844464,0.0002025199,4,1
-0.001070503,0.00018291,4,1
-0.001081523,0.0001714034,4,1
-0.001015077,0.0001668655,4,1
-0.0008872072,0.0001665414,4,1
-0.0007227109,0.0001636242,4,1
-0.0005527044,0.0001534141,4,1
-0.0003997148,0.0001325077,4,1
-0.000276059,0.0001007429,4,1
-0.0001861127,6.281957e-05,4,1
-0.0001344139,2.522042e-05,4,1
-0.0001259865,-7.678839e-06,4,1
-0.0001676373,-3.182657e-05,4,1
-0.000266173,-4.673658e-05,4,1
-0.0004173799,-5.2733e-05,4,1
-0.000591276,-4.787104e-05,4,1
-0.0007348658,-3.377136e-05,4,1
-0.0007912645,-1.221667e-05,4,1
-0.0007335693,1.12828e-05,4,1
-0.0005809038,2.894792e-05,4,1
-0.0003882082,3.251336e-05,4,1
-0.000216581,2.068259e-05,4,1
-9.778715e-05,-6.382317e-06,4,1
-2.988179e-05,-4.625038e-05,4,1
4.962256e-06,-9.227693e-05,4,1
3.13789e-05,-0.0001352242,4,1
7.6271e-05,-0.0001682856,4,1
0.0001563313,-0.000189192,4,1
0.0002743149,-0.0001976194,4,1
0.0004182289,-0.0001953505,4,1
0.0005731634,-0.0001887058,4,1
0.0007295565,-0.0001778474,4,1
0.0008827084,-0.000159534,4,1
0.001027433,-0.0001306864,4,1
0.00115433,-9.422172e-05,4,1
0.001259187,-6.278104e-05,4,1
0.001339733,-4.544006e-05,4,1
0.00139046,-4.641245e-05,4,1
0.001401156,-6.342931e-05,4,1
0.001368905,-9.114248e-05,4,1
0.001297596,-0.0001188556,4,1
0.00119355,-0.0001386276,4,1
0.001070056,-0.0001472171,4,1
0.0009499656,-0.000144462,4,1
0.0008478644,-0.0001316588,4,1
0.0007579181,-0.0001139937,4,1
0.0006674855,-9.600444e-05,4,1
0.0005601982,-8.239095e-05,4,1
0.0004376768,-7.169464e-05,4,1
0.0003218,-6.213279e-05,4,1
0.0002435224,-5.613637e-05,4,1
0.000217592,-5.419158e-05,4,1
0.0002367157,-5.759496e-05,4,1
0.0002825802,-6.521203e-05,4,1
0.0003282826,-7.477388e-05,4,1
0.0003449753,-7.963584e-05,4,1
0.00030689,-7.866345e-05,4,1
0.0001934442,-7.23429e-05,4,1
6.744974e-06,-6.342931e-05,4,1
-0.0002193361,-5.581224e-05,4,1
-0.0004379622,-5.32192e-05,4,1
-0.0006103997,-5.662256e-05,4,1
-0.000722873,-6.634648e-05,4,1
-0.000777489,-7.704279e-05,4,1
-0.0007865646,-8.109443e-05,4,1
-0.0007646859,-7.169464e-05,4,1
-0.0007347037,-4.414354e-05,4,1
-0.00071558,-7.100305e-07,4,1
-0.0007092595,4.758544e-05,4,1
-0.0007050458,9.085688e-05,4,1
-0.0006961322,0.0001205148,4,1
-0.0006797637,0.0001310491,4,1
-0.0006539953,0.0001271595,4,1
-0.0006188271,0.0001187321,4,1
-0.0005778245,0.0001182459,4,1
-0.0005389289,0.0001316974,4,1
-0.0005048952,0.0001526038,4,1
-0.0004781544,0.0001748067,4,1
-0.0004616237,0.0001932822,4,1
-0.0004656754,0.0002060853,4,1
-0.0005035987,0.000207706,4,1
-0.0005705316,0.0002010613,4,1
-0.0006455678,0.0001874478,4,1
-0.0007022907,0.0001670276,4,1
-0.0007191455,0.00013818,4,1
-0.0006875428,0.0001025256,4,1
-0.000616234,6.751948e-05,4,1
-0.0005230465,4.515445e-05,4,1
-0.0004316416,4.337174e-05,4,1
-0.0003588744,6.022653e-05,4,1
-0.000305879,8.032264e-05,4,1
-0.0002535319,5.730935e-05,4,1
-0.0001713648,-4.884343e-05,4,1
-3.814712e-05,-0.0002373254,4,1
0.0001398006,-0.0004612996,4,1
0.0003263378,-0.0006526987,4,1
0.0004796517,-0.0007580412,4,1
0.0005759185,-0.0007560964,4,1
0.0006146522,-0.0006689052,4,1
0.0006070351,-0.0005410357,4,1
0.0005702463,-0.0004136524,4,1
0.0005182233,-0.0003094444,4,1
0.0004521006,-0.0002324634,4,1
0.0003686369,-0.0001750923,4,1
0.0002756114,-0.0001311726,4,1
0.0001890685,-9.405965e-05,4,1
0.000125863,-6.0188e-05,4,1
9.490851e-05,-2.826114e-05,4,1
9.247754e-05,1.558884e-06,4,1
9.798775e-05,2.992031e-05,4,1
8.79397e-05,5.779555e-05,4,1
5.163707e-05,9.16672e-05,4,1
2.369211e-06,0.0001344524,4,1
-2.275091e-05,0.0001845306,4,1
8.365628e-06,0.0002436845,4,1
0.0001028497,0.0003153174,4,1
0.0002430362,0.0004023465,4,1
0.0003939191,0.0004986133,4,1
0.0005227611,0.0005879114,4,1
0.0006120591,0.0006561409,4,1
0.0006569512,0.0007080019,4,1
0.0006673234,0.0007605111,4,1
0.0006541961,0.0008379783,4,1
0.0006221072,0.0009499656,4,1
0.0005806184,0.001070704,4,1
0.0005350781,0.001144768,4,1
0.0004777069,0.001112355,4,1
0.0004029947,0.0009540173,4,1
0.0003195311,0.0007021675,4,1
0.0002446569,0.0004253598,4,1
0.0001898788,0.000190365,4,1
0.000153252,3.121684e-05,4,1
0.0001247285,-5.095028e-05,4,1
9.507057e-05,-7.882551e-05,4,1
6.703327e-05,-8.07703e-05,4,1
4.693717e-05,-7.736692e-05,4,1
3.93201e-05,-7.850138e-05,4,1
3.462021e-05,-8.206682e-05,4,1
2.311357e-05,-8.773911e-05,4,1
5.934648e-06,-9.681477e-05,4,1
-9.623623e-06,-0.0001109144,4,1
-2.615429e-05,-0.0001323071,4,1
-4.787104e-05,-0.0001600202,4,1
-7.18567e-05,-0.0001864369,4,1
-8.417367e-05,-0.0002028055,4,1
-7.720486e-05,-0.0002117191,4,1
-5.354332e-05,-0.000216581,4,1
-3.004385e-05,-0.0002191741,4,1
-2.372331e-05,-0.0002156086,4,1
-4.738484e-05,-0.0002053985,4,1
-9.324933e-05,-0.0001908126,4,1
-0.0001489998,-0.0001757406,4,1
-0.0001976194,-0.0001635857,4,1
-0.000228898,-0.0001566169,4,1
-0.0002378116,-0.0001558065,4,1
-0.0002334358,-0.0001613168,4,1
-0.0002303566,-0.000171851,4,1
-0.0002358668,-0.0001865989,4,1
-0.0002493182,-0.0002047502,4,1
-0.0002606628,-0.0002276015,4,1
-0.0002609869,-0.0002551526,4,1
-0.0002520733,-0.0002856209,4,1
-0.0002400805,-0.0003136581,4,1
-0.000233922,-0.0003340784,4,1
-0.0002420253,-0.0003420196,4,1
-0.0002655248,-0.0003391024,4,1
-0.0002977757,-0.0003241924,4,1
-0.0003254889,-0.0002963172,4,1
-0.0003416954,-0.0002595283,4,1
-0.0003444506,-0.0002224154,4,1
-0.0003337542,-0.0001898403,4,1
-0.0003164132,-0.0001645581,4,1
-0.0002972895,-0.0001493239,4,1
-0.0002781658,-0.0001478653,4,1
-0.0002574215,-0.0001645581,4,1
-0.0002301945,-0.000199078,4,1
-0.000201671,-0.0002366771,4,1
-0.0001838438,-0.0002575835,4,1
-0.0001835197,-0.0002507768,4,1
-0.0001950263,-0.0002206326,4,1
-0.0002042641,-0.0001831956,4,1
-0.0001972953,-0.0001515928,4,1
-0.0001639098,-0.0001329553,4,1
-0.0001036215,-0.0001327933,4,1
-2.712668e-05,-0.0001477033,4,1
3.753739e-05,-0.0001705545,4,1
5.893001e-05,-0.0001921092,4,1
1.64689e-05,-0.0002000504,4,1
-7.493595e-05,-0.000189192,4,1
-0.0001703924,-0.0001598582,4,1
-0.0002237119,-0.0001167488,4,1
-0.0002071812,-7.088431e-05,4,1
-0.000127121,-3.458168e-05,4,1
-1.3027e-05,-1.464765e-05,4,1
0.0001023635,-1.25408e-05,4,1
