EMG1,EMG2,class,user
-4.819517e-05,0.0005230852,5,1
-6.051213e-05,0.0004931031,5,1
-0.0001021629,0.0004446456,5,1
-0.0001635857,0.0003880847,5,1
-0.0002303566,0.0003287688,5,1
-0.0002856209,0.0002730183,5,1
-0.0003170615,0.0002245608,5,1
-0.0003068514,0.0001850168,5,1
-0.0002352185,0.0001560072,5,1
-0.0001003802,0.0001389903,5,1
6.78436e-05,0.0001294284,5,1
0.0002159713,0.0001235941,5,1
0.0003002453,0.000121001,5,1
0.0003039728,0.0001198666,5,1
0.0002342847,0.0001166253,5,1
0.0001180839,0.0001073875,5,1
-3.14101e-06,8.858796e-05,5,1
-9.438378e-05,5.957827e-05,5,1
-0.0001415448,2.716521e-05,5,1
-0.0001551583,-2.238346e-07,5,1
-0.0001588858,-1.724069e-05,5,1
-0.0001737958,-2.485776e-05,5,1
-0.0002039399,-3.004385e-05,5,1
-0.0002433218,-3.749886e-05,5,1
-0.00027849,-4.641245e-05,5,1
-0.0003000446,-5.451572e-05,5,1
-0.0003063652,-5.872941e-05,5,1
-0.000305879,-5.856735e-05,5,1
-0.0003164132,-5.629844e-05,5,1
-0.0003425058,-5.710876e-05,5,1
-0.0003732982,-6.326724e-05,5,1
-0.0003937184,-7.347736e-05,5,1
-0.0004011734,-8.255302e-05,5,1
-0.0004061974,-8.368748e-05,5,1
-0.0004147869,-7.55842e-05,5,1
-0.0004162455,-6.472583e-05,5,1
-0.0004006872,-5.613637e-05,5,1
-0.0003676259,-5.338126e-05,5,1
-0.0003246786,-6.164659e-05,5,1
-0.0002718453,-7.931171e-05,5,1
-0.0002026434,-0.0001000561,5,1
-0.0001120489,-0.0001182074,5,1
-1.140634e-05,-0.0001316588,5,1
7.076078e-05,-0.0001373311,5,1
0.0001075496,-0.0001340898,5,1
8.534666e-05,-0.0001229073,5,1
9.338019e-06,-0.0001099421,5,1
-9.616651e-05,-0.0001028112,5,1
-0.0001940539,-0.0001018388,5,1
-0.0002580697,-0.0001008664,5,1
-0.0002802727,-9.616651e-05,5,1
-0.0002729798,-8.676672e-05,5,1
-0.0002558008,-7.526008e-05,5,1
-0.0002429977,-6.521203e-05,5,1
-0.0002282497,-6.0188e-05,5,1
-0.0001937298,-5.710876e-05,5,1
-0.0001300382,-4.770897e-05,5,1
-4.511593e-05,-2.826114e-05,5,1
3.834771e-05,1.002961e-07,5,1
0.0001091703,2.862379e-05,5,1
0.0001864754,4.969229e-05,5,1
0.0003021901,5.633696e-05,5,1
0.0004794896,5.017848e-05,5,1
0.0007186982,3.818565e-05,5,1
0.0009896717,2.76514e-05,5,1
0.001254811,2.311357e-05,5,1
0.001483972,2.230325e-05,5,1
0.001665485,1.889987e-05,5,1
0.001801621,9.986281e-06,5,1
0.001877954,-1.520357e-06,5,1
0.001863368,-7.516774e-06,5,1
0.00173258,-3.951337e-06,5,1
0.001500827,7.717366e-06,5,1
0.001223046,2.34377e-05,5,1
0.0009747617,4.126489e-05,5,1
0.0008008654,5.860588e-05,5,1
0.0006989262,7.335383e-05,5,1
0.0006295622,8.275361e-05,5,1
0.0005535535,8.356394e-05,5,1
0.0004444835,7.708133e-05,5,1
0.0003052694,6.930219e-05,5,1
0.0001602208,6.78436e-05,5,1
3.624086e-05,7.546067e-05,5,1
-5.970181e-05,8.858796e-05,5,1
-0.0001410586,9.993253e-05,5,1
-0.000224036,0.0001096565,5,1
-0.0003123616,0.0001201907,5,1
-0.0004070078,0.0001342904,5,1
-0.0005014918,0.0001487142,5,1
-0.0005843072,0.0001504969,5,1
-0.0006467023,0.0001316974,5,1
-0.0006948357,9.361199e-05,5,1
-0.0007418346,4.790957e-05,5,1
-0.0007992057,6.258778e-06,5,1
-0.0008651663,-2.42095e-05,5,1
-0.0009244822,-4.203669e-05,5,1
-0.0009552746,-5.127441e-05,5,1
-0.0009371233,-5.759496e-05,5,1
-0.0008666249,-6.602235e-05,5,1
-0.0007596618,-7.639453e-05,5,1
-0.0006450817,-8.255302e-05,5,1
-0.000549301,-7.963584e-05,5,1
-0.0004826922,-6.796714e-05,5,1
-0.0004450931,-5.22468e-05,5,1
-0.0004279142,-3.911951e-05,5,1
-0.0004215936,-3.26369e-05,5,1
-0.0004120317,-2.89094e-05,5,1
-0.0003912874,-2.550602e-05,5,1
-0.0003713534,-2.42095e-05,5,1
-0.000372974,-2.696461e-05,5,1
-0.0004073319,-3.506788e-05,5,1
-0.0004681064,-4.398147e-05,5,1
-0.0005309877,-4.819517e-05,5,1
-0.0005637249,-4.641245e-05,5,1
-0.0005554595,-4.365734e-05,5,1
-0.0005146191,-4.300908e-05,5,1
-0.0004574101,-4.462973e-05,5,1
-0.0004018217,-4.80331e-05,5,1
-0.0003569296,-5.338126e-05,5,1
-0.0003160891,-6.0188e-05,5,1
-0.0002707109,-6.861539e-05,5,1
-0.0002185258,-7.785312e-05,5,1
-0.0001673132,-8.498399e-05,5,1
-0.0001303623,-8.984595e-05,5,1
-0.0001178833,-9.584238e-05,5,1
-0.0001292278,-0.0001036215,5,1
-0.0001538618,-0.0001104282,5,1
-0.000174444,-0.000114804,5,1
-0.0001827094,-0.0001157764,5,1
-0.0001771992,-0.0001138316,5,1
-0.000159534,-0.000112373,5,1
-0.0001340898,-0.0001156143,5,1
-9.778715e-05,-0.0001250141,5,1
-4.770897e-05,-0.0001342519,5,1
1.614476e-05,-0.000134738,5,1
9.507057e-05,-0.0001203142,5,1
0.0001858272,-9.341139e-05,5,1
0.0002905214,-6.164659e-05,5,1
0.0004059119,-3.247483e-05,5,1
0.0005148199,-9.299493e-06,5,1
0.0005864528,1.144487e-05,5,1
0.0005973112,3.235129e-05,5,1
0.0005407503,5.455425e-05,5,1
0.0004373526,7.497447e-05,5,1
0.0003218,8.777764e-05,5,1
0.0002203471,9.053275e-05,5,1
0.0001378558,8.502253e-05,5,1
6.41161e-05,7.756752e-05,5,1
-5.409925e-06,7.157111e-05,5,1
-6.81292e-05,6.865393e-05,5,1
-0.000112373,6.541262e-05,5,1
-0.000127121,6.119892e-05,5,1
-9.973194e-05,5.552663e-05,5,1
-2.194059e-05,5.082674e-05,5,1
9.409818e-05,5.244739e-05,5,1
0.0002106232,6.330578e-05,5,1
0.0002801492,7.52986e-05,5,1
0.0002709115,8.145709e-05,5,1
0.0001809652,7.837785e-05,5,1
3.93201e-05,6.589881e-05,5,1
-0.0001118868,4.72613e-05,5,1
-0.0002344082,2.376183e-05,5,1
-0.0002958309,1.720949e-06,5,1
-0.0002768693,-1.286493e-05,5,1
-0.0001859507,-1.707863e-05,5,1
-5.775702e-05,-1.010982e-05,5,1
6.508849e-05,1.883015e-06,5,1
0.0001492004,1.355172e-05,5,1
0.0001842065,2.34377e-05,5,1
0.0001822617,3.364782e-05,5,1
0.0001738343,4.888196e-05,5,1
