EMG1,EMG2,class,user
0.001525623,0.0005493398,6,1
0.001312668,0.0005405883,6,1
0.001093556,0.000505258,6,1
0.0008783326,0.0004410801,6,1
0.000663758,0.000351458,6,1
0.0004461041,0.0002391467,6,1
0.0002302331,0.0001064152,6,1
2.943412e-05,-4.284701e-05,6,1
-0.0001391138,-0.000199078,6,1
-0.0002713591,-0.0003481781,6,1
-0.0003694086,-0.0004766958,6,1
-0.0004365036,-0.0005768522,6,1
-0.0004835025,-0.000640868,6,1
-0.0005394151,-0.0006645294,6,1
-0.0006347094,-0.0006418404,6,1
-0.0007771649,-0.000573935,6,1
-0.0009372854,-0.0004679443,6,1
-0.001072124,-0.0003415334,6,1
-0.001152994,-0.0002188499,6,1
-0.001174387,-0.0001159385,6,1
-0.001147808,-4.284701e-05,6,1
-0.001084117,1.883015e-06,6,1
-0.000991091,2.878586e-05,6,1
-0.0008778074,4.969229e-05,6,1
-0.0007586894,6.606088e-05,6,1
-0.0006395715,7.643307e-05,6,1
-0.0005081365,8.080883e-05,6,1
-0.0003515814,7.837785e-05,6,1
-0.0001853024,6.849186e-05,6,1
-4.835724e-05,5.423012e-05,6,1
2.732727e-05,3.60788e-05,6,1
3.786152e-05,1.663096e-05,6,1
2.531276e-06,1.558884e-06,6,1
-5.986387e-05,-1.682422e-06,6,1
-0.0001389517,7.069105e-06,6,1
-0.0002326255,2.214118e-05,6,1
-0.0003365093,3.753739e-05,6,1
-0.000444931,4.888196e-05,6,1
-0.000549301,5.244739e-05,6,1
-0.0006398956,4.742337e-05,6,1
-0.0007120146,3.462021e-05,6,1
-0.0007739235,1.776542e-05,6,1
-0.000839398,1.883015e-06,6,1
-0.0009111929,-1.140634e-05,6,1
-0.0009714811,-2.210265e-05,6,1
-0.001000491,-2.907146e-05,6,1
-0.0009846084,-3.134038e-05,6,1
-0.0009303166,-2.955766e-05,6,1
-0.0008598181,-2.599222e-05,6,1
-0.0007917507,-2.275091e-05,6,1
-0.0007287074,-2.356124e-05,6,1
-0.0006642053,-3.328516e-05,6,1
-0.0005980827,-5.192267e-05,6,1
-0.0005462218,-7.688073e-05,6,1
-0.0005232086,-0.0001024871,6,1
-0.0005238568,-0.0001243659,6,1
-0.0005262878,-0.0001350622,6,1
-0.0005045711,-0.0001329553,6,1
-0.0004457413,-0.0001206384,6,1
-0.000360495,-0.0001020008,6,1
-0.0002716832,-8.368748e-05,6,1
-0.0001950263,-7.023606e-05,6,1
-0.0001331174,-6.148453e-05,6,1
-8.465986e-05,-5.354332e-05,6,1
-5.030202e-05,-4.317115e-05,6,1
-3.733679e-05,-3.101625e-05,6,1
-5.013995e-05,-1.869928e-05,6,1
-8.741498e-05,-7.678839e-06,6,1
-0.0001478653,2.369211e-06,6,1
-0.0002267911,1.12828e-05,6,1
-0.0003118754,2.133085e-05,6,1
-0.0003786463,3.591673e-05,6,1
-0.0003843186,5.860588e-05,6,1
-0.0002976137,8.74535e-05,6,1
-0.0001214487,0.0001145184,6,1
0.0001075496,0.000133318,6,1
0.0003354135,0.0001409351,6,1
0.0005183853,0.0001425557,6,1
0.0006423654,0.0001422316,6,1
0.0007248566,0.0001448246,6,1
0.0007979482,0.0001498487,6,1
0.0008788189,0.0001592484,6,1
0.0009585551,0.0001736723,6,1
0.001016412,0.0001918236,6,1
0.001033916,0.0002098128,6,1
0.0009974508,0.0002234263,6,1
0.0009010218,0.0002328261,6,1
0.0007517595,0.0002409294,6,1
0.0005644119,0.0002456293,6,1
0.0003548613,0.0002436845,6,1
0.0001373696,0.0002328261,6,1
-5.970181e-05,0.0002146748,6,1
-0.0001802784,0.0001918236,6,1
-0.0001754164,0.0001701068,6,1
-4.835724e-05,0.0001539003,6,1
0.0001490383,0.0001475797,6,1
0.0003610198,0.000150659,6,1
0.0005648981,0.0001573037,6,1
0.0007691005,0.0001644345,6,1
0.0009982612,0.0001645966,6,1
0.001264373,0.000155521,6,1
0.001550257,0.0001394765,6,1
0.001818962,0.0001201907,6,1
0.002014737,9.863601e-05,6,1
0.002087505,7.416415e-05,6,1
0.002030296,5.115087e-05,6,1
0.001870336,3.526847e-05,6,1
0.001645227,2.829966e-05,6,1
0.001381222,2.748934e-05,6,1
0.001097121,2.505836e-05,6,1
0.0008207994,1.808955e-05,6,1
0.000579646,5.286387e-06,6,1
0.0003882468,-1.20546e-05,6,1
0.0002517878,-3.150244e-05,6,1
0.0001759412,-5.59743e-05,6,1
0.0001675138,-8.790117e-05,6,1
0.0002162954,-0.0001253383,6,1
0.0002867939,-0.000166827,6,1
0.0003474063,-0.0002070192,6,1
0.0003871123,-0.0002386219,6,1
0.0004088291,-0.0002570974,6,1
0.0004057499,-0.0002645523,6,1
0.0003561579,-0.0002626076,6,1
0.0002446569,-0.000253856,6,1
8.372601e-05,-0.0002418632,6,1
-8.919769e-05,-0.0002279256,6,1
-0.0002340841,-0.0002110708,6,1
-0.0003277578,-0.000191623,6,1
-0.0003809152,-0.0001728234,6,1
-0.0004172179,-0.0001605064,6,1
-0.0004627582,-0.0001577513,6,1
-0.0005326084,-0.0001648822,6,1
-0.0006279027,-0.0001799543,6,1
-0.0007381071,-0.0001981056,6,1
-0.0008492839,-0.0002104225,6,1
-0.0009455507,-0.0002104225,6,1
-0.001015401,-0.0001974573,6,1
-0.001054945,-0.0001749302,6,1
-0.001066613,-0.0001457585,6,1
-0.001059969,-0.0001126972,6,1
-0.001044086,-8.141856e-05,6,1
-0.001023504,-5.581224e-05,6,1
-0.0009956289,-3.425755e-05,6,1
-0.0009565711,-1.318906e-05,6,1
-0.0009060067,1.322759e-05,6,1
-0.0008526873,4.385793e-05,6,1
-0.0008068228,7.513654e-05,6,1
-0.0007727891,0.0001091703,6,1
-0.0007468587,0.0001477418,6,1
-0.0007210903,0.0001890685,6,1
-0.0006928909,0.0002299089,6,1
-0.0006630709,0.0002668598,6,1
-0.0006348715,0.0002932765,6,1
-0.0006115342,0.0003033245,6,1
-0.000593869,0.0002991108,6,1
