EMG1,EMG2,class,user
9.013889e-06,0.0002388225,7,1
7.059871e-05,0.0002088404,7,1
0.0001355869,0.0001773998,7,1
0.0001955511,0.0001459591,7,1
0.0002360674,0.0001166253,7,1
0.0002444948,8.923623e-05,7,1
0.0002182402,6.022653e-05,7,1
0.0001701068,2.424803e-05,7,1
0.0001229458,-1.562004e-05,7,1
9.101894e-05,-5.127441e-05,7,1
6.508849e-05,-7.947377e-05,7,1
2.667901e-05,-0.0001015147,7,1
-3.717473e-05,-0.0001208004,7,1
-0.0001143178,-0.0001433275,7,1
-0.0001844921,-0.0001705545,7,1
-0.000238784,-0.0002031296,7,1
-0.0002791382,-0.0002410529,7,1
-0.0003081479,-0.0002823795,7,1
-0.0003214373,-0.0003230579,7,1
-0.0003081479,-0.0003579019,7,1
-0.0002592042,-0.0003822118,7,1
-0.0001770371,-0.0003945287,7,1
-7.218083e-05,-0.0004003631,7,1
3.721326e-05,-0.0004071698,7,1
0.0001287802,-0.0004204592,7,1
0.0001845306,-0.0004418518,7,1
0.000192796,-0.0004664857,7,1
0.000155683,-0.0004856094,7,1
9.31258e-05,-0.0004977643,7,1
3.056858e-05,-0.0005057055,7,1
-1.62683e-05,-0.0005112157,7,1
-4.722278e-05,-0.0005152673,7,1
-6.845333e-05,-0.0005183466,7,1
-8.40116e-05,-0.0005176983,7,1
-8.676672e-05,-0.0005123502,7,1
-6.261898e-05,-0.0005001953,7,1
-1.173047e-05,-0.0004823681,7,1
3.899597e-05,-0.0004553032,7,1
4.888196e-05,-0.0004178661,7,1
-2.81688e-06,-0.0003707051,7,1
-0.0001044318,-0.0003146305,7,1
-0.0002154466,-0.0002473734,7,1
-0.000293562,-0.0001629374,7,1
-0.0003177098,-5.953974e-05,7,1
-0.0002929138,5.115087e-05,7,1
-0.0002263049,0.0001496866,7,1
-0.0001280934,0.0002141886,7,1
-2.015787e-05,0.0002342847,7,1
6.184718e-05,0.000215161,7,1
8.696731e-05,0.000170431,7,1
5.455425e-05,0.0001112771,7,1
-8.165035e-06,4.45062e-05,7,1
