EMG1,EMG2,class,user
0.0009827028,0.0003089969,8,1
0.00101155,0.000321638,8,1
0.0009104217,0.0003347652,8,1
0.0006684579,0.0003530786,8,1
0.0003402755,0.0003777126,8,1
1.54965e-05,0.0004041292,8,1
-0.0002243602,0.0004211461,8,1
-0.0003413713,0.000418553,8,1
-0.0003394265,0.0003968363,8,1
-0.0002553146,0.0003636129,8,1
-0.0001378173,0.0003303894,8,1
-3.490581e-05,0.0003049452,8,1
2.133085e-05,0.0002942489,8,1
3.640293e-05,0.000299597,8,1
5.779555e-05,0.0003136967,8,1
0.0001404489,0.0003239069,8,1
0.0003072141,0.0003183966,8,1
0.0005428572,0.0002906835,8,1
0.0008010275,0.0002491947,8,1
0.001020302,0.0002060853,8,1
0.001147523,0.000160545,8,1
0.001162109,8.631905e-05,8,1
0.001075404,-3.652646e-05,8,1
0.0009151215,-0.0001977815,8,1
0.0007067053,-0.000362926,8,1
0.0004642555,-0.0004875542,8,1
0.0001974959,-0.0005259637,8,1
-8.336335e-05,-0.0004603272,8,1
-0.0003626019,-0.0003123616,8,1
-0.0006150996,-0.0001319829,8,1
-0.0008039057,2.505836e-05,8,1
-0.0008936898,0.0001132219,8,1
-0.0008578734,0.0001244044,8,1
-0.0006953219,8.016057e-05,8,1
-0.0004389346,6.582909e-06,8,1
-0.000137007,-7.882551e-05,8,1
0.0001662173,-0.0001630995,8,1
0.0004363802,-0.0002348944,8,1
0.0006535479,-0.0002917793,8,1
0.0008066997,-0.0003326198,8,1
0.0008950254,-0.0003512573,8,1
0.0009266282,-0.0003413713,8,1
0.000911232,-0.000303448,8,1
0.0008710398,-0.0002404046,8,1
0.000837168,-0.0001548341,8,1
0.0008368439,-4.657452e-05,8,1
0.0008877325,7.967438e-05,8,1
0.0009886993,0.0002114335,8,1
0.001115434,0.0003358997,8,1
0.001207974,0.0004430249,8,1
0.001196467,0.0005276231,8,1
0.001031323,0.0005903424,8,1
0.0007054088,0.0006347483,8,1
0.0002696149,0.0006530617,8,1
-0.0001703924,0.0006328035,8,1
-0.0005147812,0.0005687877,8,1
-0.000725304,0.0004540453,8,1
-0.00082465,0.0002785285,8,1
-0.0008556045,4.82337e-05,8,1
-0.0008481495,-0.0002110708,8,1
-0.000819788,-0.0004608134,8,1
-0.0007732753,-0.0006656639,8,1
-0.0007069906,-0.0007977472,8,1
