EMG1,EMG2,class,user
1.776542e-05,-0.0002690902,9,1
1.760335e-05,-0.0002543422,9,1
2.133085e-05,-0.0002392702,9,1
1.954813e-05,-0.0002259808,9,1
7.717366e-06,-0.0002126914,9,1
-1.62683e-05,-0.0001979435,9,1
-5.208474e-05,-0.0001791439,9,1
-9.519411e-05,-0.0001559686,9,1
-0.0001358725,-0.0001310105,9,1
-0.0001671511,-0.0001060525,9,1
-0.0001887058,-7.979791e-05,9,1
-0.0002021572,-5.192267e-05,9,1
-0.0002050744,-1.886135e-05,9,1
-0.000201509,2.34377e-05,9,1
-0.0001998883,7.238143e-05,9,1
-0.0002053985,0.0001185701,9,1
-0.0002118811,0.0001519555,9,1
-0.0002049123,0.0001636242,9,1
-0.0001671511,0.0001568175,9,1
-9.114248e-05,0.0001398006,9,1
1.744129e-05,0.0001224596,9,1
0.0001422316,0.0001112771,9,1
0.0002574601,0.0001099806,9,1
0.0003370341,0.0001185701,9,1
0.0003649094,0.0001316974,9,1
0.0003435168,0.0001396385,9,1
0.0002910076,0.0001398006,9,1
0.0002415777,0.0001316974,9,1
0.0002243987,0.0001163011,9,1
0.0002491947,9.507057e-05,9,1
0.000304297,6.897806e-05,9,1
0.0003645853,4.223728e-05,9,1
0.0004034809,1.97102e-05,9,1
0.0004054258,2.693341e-06,9,1
0.0003733368,-1.059602e-05,9,1
0.0003230965,-2.0482e-05,9,1
0.0002720459,-2.46957e-05,9,1
0.0002389846,-1.805102e-05,9,1
0.0002308813,4.244267e-07,9,1
0.0002386605,2.992031e-05,9,1
0.0002466017,6.087479e-05,9,1
0.0002389846,8.502253e-05,9,1
0.0002137024,9.669123e-05,9,1
0.0001767515,9.717743e-05,9,1
0.0001349386,9.004655e-05,9,1
9.669123e-05,8.161915e-05,9,1
6.200925e-05,7.740546e-05,9,1
2.959619e-05,7.870197e-05,9,1
-1.034161e-06,8.129502e-05,9,1
-2.631635e-05,8.161915e-05,9,1
-4.462973e-05,8.388807e-05,9,1
-4.965376e-05,9.101894e-05,9,1
-4.236082e-05,0.0001031738,9,1
-3.522994e-05,0.0001175977,9,1
-4.398147e-05,0.000128294,9,1
-7.039812e-05,0.0001338042,9,1
-0.0001024871,0.0001363972,9,1
-0.0001266348,0.0001368834,9,1
-0.0001355484,0.0001370455,9,1
-0.0001293899,0.0001360731,9,1
-0.0001112386,0.0001326697,9,1
-8.919769e-05,0.0001274836,9,1
-7.33153e-05,0.0001237561,9,1
-7.218083e-05,0.0001211631,9,1
-8.125649e-05,0.0001226217,9,1
-8.919769e-05,0.0001297526,9,1
-8.352541e-05,0.0001417454,9,1
-6.359137e-05,0.0001550348,9,1
-3.798505e-05,0.0001668655,9,1
-1.821308e-05,0.0001752929,9,1
-6.868513e-06,0.0001837203,9,1
2.207145e-06,0.0001913374,9,1
1.54965e-05,0.0001970097,9,1
3.332369e-05,0.0002008992,9,1
5.228533e-05,0.0002033302,9,1
